OrderID,CustomerID,Product,Quantity,Price,OrderDate,Revenue
1,103,Laptop,2,1016,2023-01-01 00:00:00,2032
2,436,Headphones,4,739,2023-01-01 01:00:00,2956
3,861,Phone,2,433,2023-01-01 02:00:00,866
4,271,Monitor,3,1437,2023-01-01 03:00:00,4311
5,107,Laptop,1,1305,2023-01-01 04:00:00,1305
6,72,Phone,3,1487,2023-01-01 05:00:00,4461
7,701,Laptop,4,1367,2023-01-01 06:00:00,5468
8,21,Monitor,3,596,2023-01-01 07:00:00,1788
9,615,Phone,1,1247,2023-01-01 08:00:00,1247
10,122,Monitor,4,441,2023-01-01 09:00:00,1764
11,467,Tablet,3,1175,2023-01-01 10:00:00,3525
12,215,Monitor,1,1366,2023-01-01 11:00:00,1366
13,331,Tablet,1,1158,2023-01-01 12:00:00,1158
14,459,Phone,2,958,2023-01-01 13:00:00,1916
15,88,Tablet,3,1274,2023-01-01 14:00:00,3822
16,373,Phone,4,734,2023-01-01 15:00:00,2936
17,100,Phone,2,590,2023-01-01 16:00:00,1180
18,872,Headphones,3,346,2023-01-01 17:00:00,1038
19,664,Phone,3,105,2023-01-01 18:00:00,315
20,131,Tablet,4,1089,2023-01-01 19:00:00,4356
21,662,Headphones,2,115,2023-01-01 20:00:00,230
22,309,Headphones,2,1007,2023-01-01 21:00:00,2014
23,770,Phone,4,1096,2023-01-01 22:00:00,4384
24,344,Monitor,2,751,2023-01-01 23:00:00,1502
25,492,Monitor,1,809,2023-01-02 00:00:00,809
26,414,Headphones,4,535,2023-01-02 01:00:00,2140
27,806,Phone,3,1488,2023-01-02 02:00:00,4464
28,386,Monitor,4,870,2023-01-02 03:00:00,3480
29,192,Phone,1,937,2023-01-02 04:00:00,937
30,956,Phone,4,1378,2023-01-02 05:00:00,5512
31,277,Headphones,3,226,2023-01-02 06:00:00,678
32,161,Headphones,3,244,2023-01-02 07:00:00,732
33,460,Laptop,4,1086,2023-01-02 08:00:00,4344
34,314,Monitor,4,925,2023-01-02 09:00:00,3700
35,22,Monitor,1,215,2023-01-02 10:00:00,215
36,253,Monitor,1,1223,2023-01-02 11:00:00,1223
37,748,Tablet,3,1414,2023-01-02 12:00:00,4242
38,857,Phone,2,606,2023-01-02 13:00:00,1212
39,561,Headphones,2,1247,2023-01-02 14:00:00,2494
40,475,Monitor,2,216,2023-01-02 15:00:00,432
41,59,Laptop,2,758,2023-01-02 16:00:00,1516
42,511,Monitor,3,767,2023-01-02 17:00:00,2301
43,682,Phone,2,146,2023-01-02 18:00:00,292
44,476,Phone,2,728,2023-01-02 19:00:00,1456
45,700,Headphones,4,453,2023-01-02 20:00:00,1812
46,976,Tablet,2,1150,2023-01-02 21:00:00,2300
47,783,Headphones,4,1310,2023-01-02 22:00:00,5240
48,190,Monitor,3,340,2023-01-02 23:00:00,1020
49,958,Laptop,4,185,2023-01-03 00:00:00,740
50,687,Headphones,1,938,2023-01-03 01:00:00,938
51,958,Tablet,4,930,2023-01-03 02:00:00,3720
52,563,Headphones,2,416,2023-01-03 03:00:00,832
53,876,Phone,4,597,2023-01-03 04:00:00,2388
54,567,Monitor,4,951,2023-01-03 05:00:00,3804
55,244,Monitor,3,297,2023-01-03 06:00:00,891
56,832,Monitor,3,815,2023-01-03 07:00:00,2445
57,505,Monitor,2,1287,2023-01-03 08:00:00,2574
58,131,Monitor,1,119,2023-01-03 09:00:00,119
59,485,Monitor,1,795,2023-01-03 10:00:00,795
60,819,Laptop,4,1045,2023-01-03 11:00:00,4180
61,647,Tablet,1,378,2023-01-03 12:00:00,378
62,21,Monitor,3,1089,2023-01-03 13:00:00,3267
63,841,Tablet,2,1247,2023-01-03 14:00:00,2494
64,167,Monitor,2,748,2023-01-03 15:00:00,1496
65,274,Headphones,3,855,2023-01-03 16:00:00,2565
66,388,Monitor,2,323,2023-01-03 17:00:00,646
67,601,Phone,4,573,2023-01-03 18:00:00,2292
68,316,Laptop,2,268,2023-01-03 19:00:00,536
69,14,Headphones,1,1073,2023-01-03 20:00:00,1073
70,242,Headphones,2,562,2023-01-03 21:00:00,1124
71,777,Phone,2,1472,2023-01-03 22:00:00,2944
72,346,Monitor,3,1184,2023-01-03 23:00:00,3552
73,565,Laptop,3,513,2023-01-04 00:00:00,1539
74,898,Headphones,1,1166,2023-01-04 01:00:00,1166
75,340,Laptop,3,500,2023-01-04 02:00:00,1500
76,92,Headphones,1,1469,2023-01-04 03:00:00,1469
77,367,Monitor,4,973,2023-01-04 04:00:00,3892
78,956,Headphones,1,982,2023-01-04 05:00:00,982
79,455,Headphones,2,528,2023-01-04 06:00:00,1056
80,428,Tablet,1,365,2023-01-04 07:00:00,365
81,509,Monitor,4,720,2023-01-04 08:00:00,2880
82,776,Phone,2,747,2023-01-04 09:00:00,1494
83,943,Phone,1,1042,2023-01-04 10:00:00,1042
84,35,Monitor,3,1426,2023-01-04 11:00:00,4278
85,206,Phone,3,817,2023-01-04 12:00:00,2451
86,81,Monitor,3,1312,2023-01-04 13:00:00,3936
87,932,Phone,1,1177,2023-01-04 14:00:00,1177
88,562,Tablet,1,956,2023-01-04 15:00:00,956
89,872,Phone,4,927,2023-01-04 16:00:00,3708
90,388,Headphones,2,1102,2023-01-04 17:00:00,2204
91,2,Monitor,2,138,2023-01-04 18:00:00,276
92,390,Laptop,2,424,2023-01-04 19:00:00,848
93,566,Laptop,2,1470,2023-01-04 20:00:00,2940
94,106,Monitor,1,413,2023-01-04 21:00:00,413
95,772,Tablet,1,196,2023-01-04 22:00:00,196
96,822,Phone,4,363,2023-01-04 23:00:00,1452
97,477,Tablet,2,597,2023-01-05 00:00:00,1194
98,703,Laptop,1,845,2023-01-05 01:00:00,845
99,402,Monitor,1,948,2023-01-05 02:00:00,948
100,730,Monitor,1,150,2023-01-05 03:00:00,150
101,556,Tablet,1,156,2023-01-05 04:00:00,156
102,162,Tablet,2,906,2023-01-05 05:00:00,1812
103,202,Phone,2,986,2023-01-05 06:00:00,1972
104,958,Headphones,1,340,2023-01-05 07:00:00,340
105,996,Headphones,3,1422,2023-01-05 08:00:00,4266
106,270,Phone,4,666,2023-01-05 09:00:00,2664
107,863,Headphones,2,637,2023-01-05 10:00:00,1274
108,816,Laptop,2,1300,2023-01-05 11:00:00,2600
109,271,Headphones,3,645,2023-01-05 12:00:00,1935
110,456,Phone,2,1026,2023-01-05 13:00:00,2052
111,462,Headphones,3,1123,2023-01-05 14:00:00,3369
112,727,Monitor,3,917,2023-01-05 15:00:00,2751
113,252,Tablet,1,1019,2023-01-05 16:00:00,1019
114,702,Laptop,2,771,2023-01-05 17:00:00,1542
115,296,Monitor,4,207,2023-01-05 18:00:00,828
116,725,Monitor,3,377,2023-01-05 19:00:00,1131
117,720,Phone,4,1150,2023-01-05 20:00:00,4600
118,749,Tablet,1,784,2023-01-05 21:00:00,784
119,338,Tablet,2,682,2023-01-05 22:00:00,1364
120,879,Laptop,1,1383,2023-01-05 23:00:00,1383
121,53,Phone,1,376,2023-01-06 00:00:00,376
122,792,Laptop,4,557,2023-01-06 01:00:00,2228
123,922,Headphones,4,919,2023-01-06 02:00:00,3676
124,217,Monitor,3,1180,2023-01-06 03:00:00,3540
125,764,Laptop,2,290,2023-01-06 04:00:00,580
126,188,Monitor,1,484,2023-01-06 05:00:00,484
127,380,Phone,3,1101,2023-01-06 06:00:00,3303
128,493,Headphones,3,753,2023-01-06 07:00:00,2259
129,41,Phone,1,1322,2023-01-06 08:00:00,1322
130,157,Headphones,1,1437,2023-01-06 09:00:00,1437
131,15,Headphones,3,638,2023-01-06 10:00:00,1914
132,813,Monitor,1,462,2023-01-06 11:00:00,462
133,65,Phone,1,618,2023-01-06 12:00:00,618
134,857,Phone,4,1238,2023-01-06 13:00:00,4952
135,839,Laptop,2,1038,2023-01-06 14:00:00,2076
136,521,Phone,3,1121,2023-01-06 15:00:00,3363
137,344,Laptop,1,533,2023-01-06 16:00:00,533
138,129,Tablet,3,1231,2023-01-06 17:00:00,3693
139,648,Tablet,2,717,2023-01-06 18:00:00,1434
140,472,Tablet,3,200,2023-01-06 19:00:00,600
141,63,Phone,3,274,2023-01-06 20:00:00,822
142,139,Phone,3,1333,2023-01-06 21:00:00,3999
143,499,Laptop,4,1460,2023-01-06 22:00:00,5840
144,593,Headphones,2,305,2023-01-06 23:00:00,610
145,392,Laptop,2,110,2023-01-07 00:00:00,220
146,675,Tablet,3,445,2023-01-07 01:00:00,1335
147,419,Laptop,3,1470,2023-01-07 02:00:00,4410
148,289,Headphones,2,1235,2023-01-07 03:00:00,2470
149,379,Phone,1,429,2023-01-07 04:00:00,429
150,773,Laptop,4,398,2023-01-07 05:00:00,1592
151,490,Tablet,2,80,2023-01-07 06:00:00,160
152,231,Tablet,3,120,2023-01-07 07:00:00,360
153,41,Phone,1,446,2023-01-07 08:00:00,446
154,28,Laptop,1,51,2023-01-07 09:00:00,51
155,135,Headphones,1,978,2023-01-07 10:00:00,978
156,201,Phone,4,611,2023-01-07 11:00:00,2444
157,840,Laptop,4,1208,2023-01-07 12:00:00,4832
158,780,Monitor,2,195,2023-01-07 13:00:00,390
159,930,Tablet,2,228,2023-01-07 14:00:00,456
160,33,Headphones,2,313,2023-01-07 15:00:00,626
161,48,Headphones,2,1384,2023-01-07 16:00:00,2768
162,503,Headphones,3,253,2023-01-07 17:00:00,759
163,407,Tablet,4,748,2023-01-07 18:00:00,2992
164,574,Laptop,1,1103,2023-01-07 19:00:00,1103
165,728,Phone,3,108,2023-01-07 20:00:00,324
166,805,Laptop,2,1082,2023-01-07 21:00:00,2164
167,99,Phone,2,1037,2023-01-07 22:00:00,2074
168,684,Headphones,3,1397,2023-01-07 23:00:00,4191
169,872,Laptop,1,216,2023-01-08 00:00:00,216
170,726,Headphones,4,1410,2023-01-08 01:00:00,5640
171,987,Monitor,4,956,2023-01-08 02:00:00,3824
172,547,Headphones,1,1452,2023-01-08 03:00:00,1452
173,961,Headphones,4,947,2023-01-08 04:00:00,3788
174,739,Phone,2,840,2023-01-08 05:00:00,1680
175,613,Monitor,2,291,2023-01-08 06:00:00,582
176,943,Headphones,2,957,2023-01-08 07:00:00,1914
177,462,Headphones,2,1233,2023-01-08 08:00:00,2466
178,643,Monitor,1,826,2023-01-08 09:00:00,826
179,769,Monitor,4,1308,2023-01-08 10:00:00,5232
180,5,Laptop,4,248,2023-01-08 11:00:00,992
181,218,Phone,3,1106,2023-01-08 12:00:00,3318
182,503,Monitor,1,457,2023-01-08 13:00:00,457
183,767,Monitor,4,1162,2023-01-08 14:00:00,4648
184,398,Tablet,4,270,2023-01-08 15:00:00,1080
185,871,Monitor,3,1142,2023-01-08 16:00:00,3426
186,795,Phone,2,1367,2023-01-08 17:00:00,2734
187,393,Headphones,4,1310,2023-01-08 18:00:00,5240
188,207,Headphones,2,1233,2023-01-08 19:00:00,2466
189,15,Headphones,3,889,2023-01-08 20:00:00,2667
190,858,Headphones,4,837,2023-01-08 21:00:00,3348
191,554,Tablet,2,1363,2023-01-08 22:00:00,2726
192,892,Monitor,1,603,2023-01-08 23:00:00,603
193,461,Headphones,2,627,2023-01-09 00:00:00,1254
194,691,Laptop,2,582,2023-01-09 01:00:00,1164
195,575,Headphones,2,384,2023-01-09 02:00:00,768
196,864,Monitor,2,1070,2023-01-09 03:00:00,2140
197,743,Headphones,1,295,2023-01-09 04:00:00,295
198,241,Tablet,3,1396,2023-01-09 05:00:00,4188
199,564,Phone,2,660,2023-01-09 06:00:00,1320
200,96,Phone,2,378,2023-01-09 07:00:00,756
201,900,Monitor,4,596,2023-01-09 08:00:00,2384
202,734,Phone,4,388,2023-01-09 09:00:00,1552
203,485,Phone,1,1244,2023-01-09 10:00:00,1244
204,407,Laptop,1,1183,2023-01-09 11:00:00,1183
205,231,Monitor,1,1043,2023-01-09 12:00:00,1043
206,749,Monitor,4,856,2023-01-09 13:00:00,3424
207,655,Phone,2,1083,2023-01-09 14:00:00,2166
208,171,Phone,4,1275,2023-01-09 15:00:00,5100
209,541,Phone,3,1330,2023-01-09 16:00:00,3990
210,36,Tablet,1,1335,2023-01-09 17:00:00,1335
211,525,Headphones,1,742,2023-01-09 18:00:00,742
212,160,Tablet,1,479,2023-01-09 19:00:00,479
213,839,Monitor,3,1139,2023-01-09 20:00:00,3417
214,699,Laptop,2,855,2023-01-09 21:00:00,1710
215,243,Headphones,2,661,2023-01-09 22:00:00,1322
216,86,Laptop,2,84,2023-01-09 23:00:00,168
217,796,Monitor,1,606,2023-01-10 00:00:00,606
218,578,Monitor,2,540,2023-01-10 01:00:00,1080
219,682,Laptop,4,303,2023-01-10 02:00:00,1212
220,557,Laptop,1,66,2023-01-10 03:00:00,66
221,574,Laptop,3,310,2023-01-10 04:00:00,930
222,953,Monitor,3,1329,2023-01-10 05:00:00,3987
223,646,Phone,2,777,2023-01-10 06:00:00,1554
